direction,route,pattern,length,forward_context_length,samples,metric,median_ms,min_ms,max_ms,sample_stdev_ms,range_percent,material_reduction_ms
forward,0,2,64,64,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,65,65,6,elapsed_us,1.1655,1.143,1.256,0.04485829540527222,9.695409695409696,0.22599999999999998
forward,0,2,65,65,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,2,65,65,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,2,255,255,6,elapsed_us,2.7965,2.7840000000000003,2.841,0.020849460424672867,2.0382621133559806,0.139825
forward,0,2,255,255,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,2,255,255,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,0,2,256,256,6,elapsed_us,2.8040000000000003,2.793,2.826,0.011075498483890767,1.1768901569186876,0.14020000000000002
forward,0,2,256,256,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,2,256,256,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,257,257,6,elapsed_us,2.8195,2.809,2.834,0.009537644712750978,0.8866820358219543,0.14097500000000002
forward,0,2,257,257,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,257,257,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,4095,4095,6,elapsed_us,37.283,37.226,37.332,0.033951435904833245,0.28431188477322106,1.8641500000000002
forward,0,2,4095,4095,6,send_ticks,33.333333333333336,33.333333333333336,50.0,6.804138174397718,50.0,33.333333333333336
forward,0,2,4095,4095,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,4096,4096,6,elapsed_us,37.3115,37.227000000000004,37.344,0.04284584771791389,0.3135762432494003,1.8655750000000002
forward,0,2,4096,4096,6,send_ticks,33.333333333333336,33.333333333333336,50.0,6.804138174397718,50.0,33.333333333333336
forward,0,2,4096,4096,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,2,4097,4097,6,elapsed_us,37.321,37.287,37.356,0.02778488797889961,0.18488250582781812,1.86605
forward,0,2,4097,4097,6,send_ticks,41.66666666666667,33.333333333333336,50.0,9.128709291752768,40.0,33.333333333333336
forward,0,2,4097,4097,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,2,32768,32768,6,elapsed_us,295.0285,294.915,295.108,0.07075238511880713,0.06541740882660489,14.751425000000001
forward,0,2,32768,32768,6,send_ticks,300.0,283.33333333333337,300.0,6.804138174397718,5.555555555555555,33.333333333333336
forward,0,2,32768,32768,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,2,65535,65535,6,elapsed_us,589.1875,589.134,589.295,0.05465314873515219,0.027325766415614725,29.459375
forward,0,2,65535,65535,6,send_ticks,583.3333333333334,583.3333333333334,600.0,8.606629658238706,2.857142857142857,33.333333333333336
forward,0,2,65535,65535,6,reply_ticks,16.666666666666668,0.0,16.666666666666668,6.804138174397718,100.0,33.333333333333336
forward,0,3,0,0,6,elapsed_us,0.451,0.431,0.527,0.03620865458238771,21.286031042128602,0.19200000000000006
forward,0,3,0,0,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,0,0,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,1,1,6,elapsed_us,0.7495,0.6880000000000001,0.779,0.030988169785688646,12.141427618412274,0.18199999999999994
forward,0,3,1,1,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,1,1,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,3,63,63,6,elapsed_us,1.2075,1.161,1.23,0.031091799561942374,5.714285714285714,0.1379999999999999
forward,0,3,63,63,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,63,63,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,3,64,64,6,elapsed_us,1.165,1.141,1.245,0.03598564528623416,8.927038626609441,0.20800000000000018
forward,0,3,64,64,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,64,64,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,3,65,65,6,elapsed_us,1.163,1.159,1.268,0.043403532882320385,9.37231298366294,0.21799999999999997
forward,0,3,65,65,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,65,65,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,3,255,255,6,elapsed_us,2.787,2.775,2.837,0.021961329650091774,2.2246142805884466,0.13935
